Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.037E+03 
1.500E-03 2.791E+03 
2.000E-03 1.401E+03 
3.000E-03 5.136E+02 
3.351E-03 3.887E+02 
3.351E-03 1.274E+03 
3.436E-03 1.198E+03 
3.524E-03 1.126E+03 
3.524E-03 1.547E+03 
3.662E-03 1.408E+03 
3.806E-03 1.282E+03 
3.806E-03 1.468E+03 
4.000E-03 1.305E+03 
5.000E-03 7.388E+02 
6.000E-03 4.611E+02 
8.000E-03 2.164E+02 
1.000E-02 1.193E+02 
1.500E-02 3.998E+01 
2.000E-02 1.836E+01 
2.551E-02 9.525E+00 
2.551E-02 5.539E+01 
3.000E-02 3.668E+01 
4.000E-02 1.719E+01 
5.000E-02 9.445E+00 
6.000E-02 5.766E+00 
8.000E-02 2.651E+00 
1.000E-01 1.470E+00 
1.500E-01 5.426E-01 
2.000E-01 2.972E-01 
3.000E-01 1.560E-01 
4.000E-01 1.131E-01 
5.000E-01 9.321E-02 
6.000E-01 8.153E-02 
8.000E-01 6.767E-02 
1.000E+00 5.921E-02 
1.022E+00 5.844E-02 
1.250E+00 5.216E-02 
1.500E+00 4.754E-02 
2.000E+00 4.209E-02 
2.044E+00 4.176E-02 
3.000E+00 3.754E-02 
4.000E+00 3.606E-02 
5.000E+00 3.577E-02 
6.000E+00 3.601E-02 
7.000E+00 3.654E-02 
8.000E+00 3.723E-02 
9.000E+00 3.801E-02 
1.000E+01 3.883E-02 
1.100E+01 3.965E-02 
1.200E+01 4.047E-02 
1.300E+01 4.127E-02 
1.400E+01 4.204E-02 
1.500E+01 4.276E-02 
1.600E+01 4.348E-02 
1.800E+01 4.483E-02 
2.000E+01 4.609E-02 
2.200E+01 4.729E-02 
2.400E+01 4.840E-02 
2.600E+01 4.944E-02 
2.800E+01 5.040E-02 
3.000E+01 5.132E-02 
4.000E+01 5.513E-02 
5.000E+01 5.808E-02 
6.000E+01 6.044E-02 
8.000E+01 6.405E-02 
1.000E+02 6.665E-02 
1.500E+02 7.086E-02 
2.000E+02 7.341E-02 
3.000E+02 7.646E-02 
4.000E+02 7.818E-02 
5.000E+02 7.934E-02 
6.000E+02 8.019E-02 
8.000E+02 8.130E-02 
1.000E+03 8.205E-02 
1.500E+03 8.312E-02 
2.000E+03 8.365E-02 
3.000E+03 8.430E-02 
4.000E+03 8.463E-02 
5.000E+03 8.484E-02 
6.000E+03 8.501E-02 
8.000E+03 8.517E-02 
1.000E+04 8.533E-02 
1.500E+04 8.550E-02 
2.000E+04 8.561E-02 
3.000E+04 8.566E-02 
4.000E+04 8.572E-02 
5.000E+04 8.577E-02 
6.000E+04 8.577E-02 
8.000E+04 8.583E-02 
1.000E+05 8.583E-02 
