Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.409E+03 
1.500E-03 2.666E+03 
2.000E-03 1.243E+03 
3.000E-03 4.052E+02 
4.000E-03 1.784E+02 
5.000E-03 9.338E+01 
6.000E-03 5.469E+01 
8.000E-03 2.328E+01 
1.000E-02 1.197E+01 
1.500E-02 3.613E+00 
2.000E-02 1.606E+00 
3.000E-02 5.922E-01 
4.000E-02 3.472E-01 
5.000E-02 2.579E-01 
6.000E-02 2.161E-01 
8.000E-02 1.781E-01 
1.000E-01 1.600E-01 
1.500E-01 1.370E-01 
2.000E-01 1.236E-01 
3.000E-01 1.064E-01 
4.000E-01 9.502E-02 
5.000E-01 8.665E-02 
6.000E-01 8.006E-02 
8.000E-01 7.029E-02 
1.000E+00 6.316E-02 
1.022E+00 6.250E-02 
1.250E+00 5.646E-02 
1.500E+00 5.145E-02 
2.000E+00 4.431E-02 
2.044E+00 4.381E-02 
3.000E+00 3.595E-02 
4.000E+00 3.122E-02 
5.000E+00 2.818E-02 
6.000E+00 2.610E-02 
7.000E+00 2.460E-02 
8.000E+00 2.349E-02 
9.000E+00 2.263E-02 
1.000E+01 2.197E-02 
1.100E+01 2.143E-02 
1.200E+01 2.100E-02 
1.300E+01 2.065E-02 
1.400E+01 2.036E-02 
1.500E+01 2.013E-02 
1.600E+01 1.994E-02 
1.800E+01 1.965E-02 
2.000E+01 1.946E-02 
2.200E+01 1.933E-02 
2.400E+01 1.925E-02 
2.600E+01 1.920E-02 
2.800E+01 1.918E-02 
3.000E+01 1.919E-02 
4.000E+01 1.936E-02 
5.000E+01 1.965E-02 
6.000E+01 1.996E-02 
8.000E+01 2.056E-02 
1.000E+02 2.107E-02 
1.500E+02 2.202E-02 
2.000E+02 2.266E-02 
3.000E+02 2.346E-02 
4.000E+02 2.394E-02 
5.000E+02 2.428E-02 
6.000E+02 2.452E-02 
8.000E+02 2.485E-02 
1.000E+03 2.507E-02 
1.500E+03 2.539E-02 
2.000E+03 2.557E-02 
3.000E+03 2.576E-02 
4.000E+03 2.587E-02 
5.000E+03 2.594E-02 
6.000E+03 2.599E-02 
8.000E+03 2.605E-02 
1.000E+04 2.609E-02 
1.500E+04 2.614E-02 
2.000E+04 2.617E-02 
3.000E+04 2.621E-02 
4.000E+04 2.623E-02 
5.000E+04 2.623E-02 
6.000E+04 2.624E-02 
8.000E+04 2.625E-02 
1.000E+05 2.626E-02 
