Photon    Tot. w/  
Energy    Coherent 

1.000E-03 8.542E+03 
1.031E-03 7.985E+03 
1.062E-03 7.468E+03 
1.062E-03 8.547E+03 
1.099E-03 7.955E+03 
1.137E-03 7.406E+03 
1.137E-03 7.836E+03 
1.212E-03 6.849E+03 
1.293E-03 5.990E+03 
1.293E-03 6.257E+03 
1.500E-03 4.499E+03 
2.000E-03 2.319E+03 
3.000E-03 8.696E+02 
4.000E-03 4.245E+02 
5.000E-03 2.414E+02 
5.247E-03 2.135E+02 
5.247E-03 6.096E+02 
5.432E-03 5.614E+02 
5.624E-03 5.169E+02 
5.624E-03 7.015E+02 
5.803E-03 6.495E+02 
5.989E-03 6.013E+02 
5.989E-03 6.934E+02 
6.000E-03 6.899E+02 
8.000E-03 3.335E+02 
1.000E-02 1.860E+02 
1.500E-02 6.346E+01 
2.000E-02 2.938E+01 
3.000E-02 9.903E+00 
3.744E-02 5.499E+00 
3.744E-02 2.919E+01 
4.000E-02 2.457E+01 
5.000E-02 1.379E+01 
6.000E-02 8.511E+00 
8.000E-02 3.963E+00 
1.000E-01 2.195E+00 
1.500E-01 7.827E-01 
2.000E-01 4.045E-01 
3.000E-01 1.891E-01 
4.000E-01 1.265E-01 
5.000E-01 9.923E-02 
6.000E-01 8.410E-02 
8.000E-01 6.744E-02 
1.000E+00 5.803E-02 
1.022E+00 5.718E-02 
1.250E+00 5.057E-02 
1.500E+00 4.592E-02 
2.000E+00 4.078E-02 
2.044E+00 4.048E-02 
3.000E+00 3.692E-02 
4.000E+00 3.598E-02 
5.000E+00 3.612E-02 
6.000E+00 3.669E-02 
7.000E+00 3.751E-02 
8.000E+00 3.844E-02 
9.000E+00 3.942E-02 
1.000E+01 4.042E-02 
1.100E+01 4.143E-02 
1.200E+01 4.242E-02 
1.300E+01 4.339E-02 
1.400E+01 4.431E-02 
1.500E+01 4.518E-02 
1.600E+01 4.602E-02 
1.800E+01 4.757E-02 
2.000E+01 4.902E-02 
2.200E+01 5.038E-02 
2.400E+01 5.165E-02 
2.600E+01 5.282E-02 
2.800E+01 5.390E-02 
3.000E+01 5.490E-02 
4.000E+01 5.920E-02 
5.000E+01 6.248E-02 
6.000E+01 6.507E-02 
8.000E+01 6.900E-02 
1.000E+02 7.186E-02 
1.500E+02 7.649E-02 
2.000E+02 7.929E-02 
3.000E+02 8.261E-02 
4.000E+02 8.452E-02 
5.000E+02 8.581E-02 
6.000E+02 8.673E-02 
8.000E+02 8.795E-02 
1.000E+03 8.875E-02 
1.500E+03 8.989E-02 
2.000E+03 9.053E-02 
3.000E+03 9.121E-02 
4.000E+03 9.160E-02 
5.000E+03 9.181E-02 
6.000E+03 9.199E-02 
8.000E+03 9.220E-02 
1.000E+04 9.233E-02 
1.500E+04 9.255E-02 
2.000E+04 9.263E-02 
3.000E+04 9.272E-02 
4.000E+04 9.281E-02 
5.000E+04 9.285E-02 
6.000E+04 9.285E-02 
8.000E+04 9.289E-02 
1.000E+05 9.289E-02 
