Photon    Tot. w/  
Energy    Coherent 

1.000E-03 6.083E+01 
1.500E-03 1.676E+01 
2.000E-03 6.864E+00 
3.000E-03 2.007E+00 
4.000E-03 9.329E-01 
5.000E-03 5.767E-01 
6.000E-03 4.195E-01 
8.000E-03 2.933E-01 
1.000E-02 2.476E-01 
1.500E-02 2.092E-01 
2.000E-02 1.960E-01 
3.000E-02 1.838E-01 
4.000E-02 1.763E-01 
5.000E-02 1.703E-01 
6.000E-02 1.651E-01 
8.000E-02 1.562E-01 
1.000E-01 1.486E-01 
1.500E-01 1.336E-01 
2.000E-01 1.224E-01 
3.000E-01 1.064E-01 
4.000E-01 9.535E-02 
5.000E-01 8.707E-02 
6.000E-01 8.055E-02 
8.000E-01 7.076E-02 
1.000E+00 6.362E-02 
1.022E+00 6.294E-02 
1.250E+00 5.688E-02 
1.500E+00 5.173E-02 
2.000E+00 4.422E-02 
2.044E+00 4.369E-02 
3.000E+00 3.503E-02 
4.000E+00 2.949E-02 
5.000E+00 2.577E-02 
6.000E+00 2.307E-02 
7.000E+00 2.102E-02 
8.000E+00 1.940E-02 
9.000E+00 1.810E-02 
1.000E+01 1.703E-02 
1.100E+01 1.613E-02 
1.200E+01 1.537E-02 
1.300E+01 1.471E-02 
1.400E+01 1.413E-02 
1.500E+01 1.363E-02 
1.600E+01 1.319E-02 
1.800E+01 1.244E-02 
2.000E+01 1.183E-02 
2.200E+01 1.134E-02 
2.400E+01 1.092E-02 
2.600E+01 1.057E-02 
2.800E+01 1.027E-02 
3.000E+01 1.001E-02 
4.000E+01 9.114E-03 
5.000E+01 8.608E-03 
6.000E+01 8.296E-03 
8.000E+01 7.950E-03 
1.000E+02 7.785E-03 
1.500E+02 7.648E-03 
2.000E+02 7.634E-03 
3.000E+02 7.684E-03 
4.000E+02 7.742E-03 
5.000E+02 7.795E-03 
6.000E+02 7.837E-03 
8.000E+02 7.902E-03 
1.000E+03 7.946E-03 
1.500E+03 8.021E-03 
2.000E+03 8.065E-03 
3.000E+03 8.115E-03 
4.000E+03 8.150E-03 
5.000E+03 8.169E-03 
6.000E+03 8.183E-03 
8.000E+03 8.203E-03 
1.000E+04 8.216E-03 
1.500E+04 8.231E-03 
2.000E+04 8.242E-03 
3.000E+04 8.251E-03 
4.000E+04 8.257E-03 
5.000E+04 8.263E-03 
6.000E+04 8.264E-03 
8.000E+04 8.267E-03 
1.000E+05 8.268E-03 
