Photon    Tot. w/  
Energy    Coherent 

1.000E-03 5.007E+03 
1.500E-03 2.259E+03 
2.000E-03 1.231E+03 
2.389E-03 8.353E+02 
2.389E-03 1.132E+03 
2.437E-03 1.519E+03 
2.485E-03 2.040E+03 
2.485E-03 2.356E+03 
2.711E-03 2.147E+03 
2.957E-03 1.957E+03 
2.957E-03 2.266E+03 
3.000E-03 2.189E+03 
3.416E-03 1.591E+03 
3.416E-03 1.687E+03 
3.557E-03 1.532E+03 
3.704E-03 1.392E+03 
3.704E-03 1.452E+03 
4.000E-03 1.212E+03 
5.000E-03 7.068E+02 
6.000E-03 4.516E+02 
8.000E-03 2.208E+02 
1.000E-02 1.260E+02 
1.266E-02 6.956E+01 
1.266E-02 1.693E+02 
1.364E-02 1.388E+02 
1.470E-02 1.139E+02 
1.470E-02 1.572E+02 
1.500E-02 1.497E+02 
1.535E-02 1.416E+02 
1.535E-02 1.631E+02 
2.000E-02 8.360E+01 
3.000E-02 2.929E+01 
4.000E-02 1.385E+01 
5.000E-02 7.750E+00 
6.000E-02 4.839E+00 
8.000E-02 2.332E+00 
8.553E-02 1.976E+00 
8.553E-02 8.046E+00 
1.000E-01 5.396E+00 
1.500E-01 1.957E+00 
2.000E-01 9.694E-01 
3.000E-01 3.922E-01 
4.000E-01 2.267E-01 
5.000E-01 1.580E-01 
6.000E-01 1.226E-01 
8.000E-01 8.751E-02 
1.000E+00 7.031E-02 
1.022E+00 6.891E-02 
1.250E+00 5.831E-02 
1.500E+00 5.187E-02 
2.000E+00 4.581E-02 
2.044E+00 4.548E-02 
3.000E+00 4.211E-02 
4.000E+00 4.175E-02 
5.000E+00 4.248E-02 
6.000E+00 4.366E-02 
7.000E+00 4.502E-02 
8.000E+00 4.647E-02 
9.000E+00 4.796E-02 
1.000E+01 4.943E-02 
1.100E+01 5.085E-02 
1.200E+01 5.228E-02 
1.300E+01 5.366E-02 
1.400E+01 5.497E-02 
1.500E+01 5.622E-02 
1.600E+01 5.741E-02 
1.800E+01 5.963E-02 
2.000E+01 6.162E-02 
2.200E+01 6.351E-02 
2.400E+01 6.523E-02 
2.600E+01 6.687E-02 
2.800E+01 6.835E-02 
3.000E+01 6.975E-02 
4.000E+01 7.555E-02 
5.000E+01 7.999E-02 
6.000E+01 8.348E-02 
8.000E+01 8.870E-02 
1.000E+02 9.243E-02 
1.500E+02 9.839E-02 
2.000E+02 1.020E-01 
3.000E+02 1.061E-01 
4.000E+02 1.085E-01 
5.000E+02 1.101E-01 
6.000E+02 1.113E-01 
8.000E+02 1.128E-01 
1.000E+03 1.137E-01 
1.500E+03 1.151E-01 
2.000E+03 1.159E-01 
3.000E+03 1.168E-01 
4.000E+03 1.172E-01 
5.000E+03 1.175E-01 
6.000E+03 1.177E-01 
8.000E+03 1.180E-01 
1.000E+04 1.181E-01 
1.500E+04 1.184E-01 
2.000E+04 1.185E-01 
3.000E+04 1.186E-01 
4.000E+04 1.187E-01 
5.000E+04 1.187E-01 
6.000E+04 1.187E-01 
8.000E+04 1.188E-01 
1.000E+05 1.188E-01 
