Photon    Tot. w/  
Energy    Coherent 

1.000E-03 6.613E+03 
1.081E-03 5.737E+03 
1.168E-03 4.978E+03 
1.168E-03 5.048E+03 
1.246E-03 4.459E+03 
1.329E-03 3.940E+03 
1.329E-03 4.017E+03 
1.500E-03 3.161E+03 
2.000E-03 1.741E+03 
3.000E-03 7.179E+02 
3.332E-03 5.670E+02 
3.332E-03 1.394E+03 
3.410E-03 1.307E+03 
3.491E-03 1.226E+03 
3.491E-03 1.749E+03 
4.000E-03 1.253E+03 
4.046E-03 1.217E+03 
4.046E-03 1.415E+03 
4.421E-03 1.135E+03 
4.830E-03 9.104E+02 
4.830E-03 9.654E+02 
5.000E-03 8.877E+02 
5.182E-03 8.130E+02 
5.182E-03 8.478E+02 
6.000E-03 5.946E+02 
8.000E-03 2.938E+02 
1.000E-02 1.689E+02 
1.500E-02 6.142E+01 
1.630E-02 4.992E+01 
1.630E-02 1.156E+02 
1.792E-02 8.983E+01 
1.969E-02 6.984E+01 
1.969E-02 9.870E+01 
2.000E-02 9.367E+01 
2.047E-02 8.851E+01 
2.047E-02 1.018E+02 
3.000E-02 3.891E+01 
4.000E-02 1.865E+01 
5.000E-02 1.052E+01 
6.000E-02 6.591E+00 
8.000E-02 3.177E+00 
1.000E-01 1.830E+00 
1.097E-01 1.465E+00 
1.097E-01 5.336E+00 
1.500E-01 2.472E+00 
2.000E-01 1.234E+00 
3.000E-01 4.940E-01 
4.000E-01 2.789E-01 
5.000E-01 1.895E-01 
6.000E-01 1.435E-01 
8.000E-01 9.862E-02 
1.000E+00 7.709E-02 
1.022E+00 7.538E-02 
1.250E+00 6.251E-02 
1.500E+00 5.498E-02 
2.000E+00 4.812E-02 
2.044E+00 4.777E-02 
3.000E+00 4.396E-02 
4.000E+00 4.347E-02 
5.000E+00 4.421E-02 
6.000E+00 4.542E-02 
7.000E+00 4.683E-02 
8.000E+00 4.837E-02 
9.000E+00 4.994E-02 
1.000E+01 5.149E-02 
1.100E+01 5.302E-02 
1.200E+01 5.453E-02 
1.300E+01 5.598E-02 
1.400E+01 5.737E-02 
1.500E+01 5.871E-02 
1.600E+01 5.999E-02 
1.800E+01 6.232E-02 
2.000E+01 6.447E-02 
2.200E+01 6.649E-02 
2.400E+01 6.835E-02 
2.600E+01 7.006E-02 
2.800E+01 7.167E-02 
3.000E+01 7.315E-02 
4.000E+01 7.931E-02 
5.000E+01 8.403E-02 
6.000E+01 8.773E-02 
8.000E+01 9.328E-02 
1.000E+02 9.722E-02 
1.500E+02 1.035E-01 
2.000E+02 1.073E-01 
3.000E+02 1.118E-01 
4.000E+02 1.143E-01 
5.000E+02 1.160E-01 
6.000E+02 1.173E-01 
8.000E+02 1.189E-01 
1.000E+03 1.199E-01 
1.500E+03 1.215E-01 
2.000E+03 1.223E-01 
3.000E+03 1.232E-01 
4.000E+03 1.237E-01 
5.000E+03 1.240E-01 
6.000E+03 1.242E-01 
8.000E+03 1.245E-01 
1.000E+04 1.246E-01 
1.500E+04 1.249E-01 
2.000E+04 1.250E-01 
3.000E+04 1.252E-01 
4.000E+04 1.253E-01 
5.000E+04 1.253E-01 
6.000E+04 1.253E-01 
8.000E+04 1.254E-01 
1.000E+05 1.254E-01 
