Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.194E+03 
1.056E-03 6.537E+03 
1.115E-03 5.939E+03 
1.115E-03 6.317E+03 
1.237E-03 5.192E+03 
1.372E-03 4.266E+03 
1.372E-03 4.324E+03 
1.500E-03 3.621E+03 
1.559E-03 3.354E+03 
1.559E-03 3.417E+03 
2.000E-03 2.037E+03 
3.000E-03 8.394E+02 
3.778E-03 4.986E+02 
3.778E-03 1.181E+03 
3.874E-03 1.104E+03 
3.973E-03 1.032E+03 
3.973E-03 1.396E+03 
4.000E-03 1.426E+03 
4.557E-03 1.043E+03 
4.557E-03 1.214E+03 
5.000E-03 9.648E+02 
5.541E-03 7.431E+02 
5.541E-03 7.880E+02 
5.734E-03 7.248E+02 
5.933E-03 6.667E+02 
5.933E-03 6.949E+02 
6.000E-03 6.760E+02 
8.000E-03 3.351E+02 
1.000E-02 1.935E+02 
1.500E-02 7.065E+01 
1.806E-02 4.454E+01 
1.806E-02 1.011E+02 
2.000E-02 7.708E+01 
2.227E-02 5.804E+01 
2.227E-02 8.170E+01 
2.268E-02 7.794E+01 
2.310E-02 7.436E+01 
2.310E-02 8.539E+01 
3.000E-02 4.452E+01 
4.000E-02 2.147E+01 
5.000E-02 1.217E+01 
6.000E-02 7.652E+00 
8.000E-02 3.699E+00 
1.000E-01 2.129E+00 
1.218E-01 1.324E+00 
1.218E-01 4.589E+00 
1.500E-01 2.768E+00 
2.000E-01 1.391E+00 
3.000E-01 5.565E-01 
4.000E-01 3.124E-01 
5.000E-01 2.105E-01 
6.000E-01 1.580E-01 
8.000E-01 1.070E-01 
1.000E+00 8.262E-02 
1.022E+00 8.075E-02 
1.250E+00 6.632E-02 
1.500E+00 5.800E-02 
2.000E+00 5.049E-02 
2.044E+00 5.010E-02 
3.000E+00 4.591E-02 
4.000E+00 4.528E-02 
5.000E+00 4.598E-02 
6.000E+00 4.717E-02 
7.000E+00 4.864E-02 
8.000E+00 5.020E-02 
9.000E+00 5.183E-02 
1.000E+01 5.345E-02 
1.100E+01 5.507E-02 
1.200E+01 5.664E-02 
1.300E+01 5.813E-02 
1.400E+01 5.961E-02 
1.500E+01 6.100E-02 
1.600E+01 6.232E-02 
1.800E+01 6.480E-02 
2.000E+01 6.706E-02 
2.200E+01 6.916E-02 
2.400E+01 7.112E-02 
2.600E+01 7.294E-02 
2.800E+01 7.461E-02 
3.000E+01 7.616E-02 
4.000E+01 8.264E-02 
5.000E+01 8.759E-02 
6.000E+01 9.149E-02 
8.000E+01 9.730E-02 
1.000E+02 1.015E-01 
1.500E+02 1.081E-01 
2.000E+02 1.120E-01 
3.000E+02 1.167E-01 
4.000E+02 1.194E-01 
5.000E+02 1.212E-01 
6.000E+02 1.224E-01 
8.000E+02 1.241E-01 
1.000E+03 1.252E-01 
1.500E+03 1.268E-01 
2.000E+03 1.277E-01 
3.000E+03 1.286E-01 
4.000E+03 1.291E-01 
5.000E+03 1.295E-01 
6.000E+03 1.297E-01 
8.000E+03 1.300E-01 
1.000E+04 1.302E-01 
1.500E+04 1.304E-01 
2.000E+04 1.305E-01 
3.000E+04 1.307E-01 
4.000E+04 1.308E-01 
5.000E+04 1.308E-01 
6.000E+04 1.309E-01 
8.000E+04 1.309E-01 
1.000E+05 1.309E-01 
