Photon    Tot. w/  
Energy    Coherent 

1.000E-03 6.542E+02 
1.035E-03 5.958E+02 
1.072E-03 5.431E+02 
1.072E-03 6.435E+03 
1.500E-03 3.195E+03 
2.000E-03 1.521E+03 
3.000E-03 5.070E+02 
4.000E-03 2.261E+02 
5.000E-03 1.194E+02 
6.000E-03 7.030E+01 
8.000E-03 3.018E+01 
1.000E-02 1.557E+01 
1.500E-02 4.694E+00 
2.000E-02 2.057E+00 
3.000E-02 7.198E-01 
4.000E-02 3.969E-01 
5.000E-02 2.804E-01 
6.000E-02 2.268E-01 
8.000E-02 1.796E-01 
1.000E-01 1.585E-01 
1.500E-01 1.335E-01 
2.000E-01 1.199E-01 
3.000E-01 1.029E-01 
4.000E-01 9.186E-02 
5.000E-01 8.372E-02 
6.000E-01 7.736E-02 
8.000E-01 6.788E-02 
1.000E+00 6.100E-02 
1.022E+00 6.034E-02 
1.250E+00 5.454E-02 
1.500E+00 4.968E-02 
2.000E+00 4.282E-02 
2.044E+00 4.234E-02 
3.000E+00 3.488E-02 
4.000E+00 3.037E-02 
5.000E+00 2.753E-02 
6.000E+00 2.559E-02 
7.000E+00 2.421E-02 
8.000E+00 2.319E-02 
9.000E+00 2.241E-02 
1.000E+01 2.181E-02 
1.100E+01 2.134E-02 
1.200E+01 2.096E-02 
1.300E+01 2.066E-02 
1.400E+01 2.042E-02 
1.500E+01 2.023E-02 
1.600E+01 2.007E-02 
1.800E+01 1.984E-02 
2.000E+01 1.970E-02 
2.200E+01 1.962E-02 
2.400E+01 1.959E-02 
2.600E+01 1.957E-02 
2.800E+01 1.959E-02 
3.000E+01 1.962E-02 
4.000E+01 1.992E-02 
5.000E+01 2.029E-02 
6.000E+01 2.067E-02 
8.000E+01 2.135E-02 
1.000E+02 2.191E-02 
1.500E+02 2.293E-02 
2.000E+02 2.360E-02 
3.000E+02 2.445E-02 
4.000E+02 2.497E-02 
5.000E+02 2.532E-02 
6.000E+02 2.558E-02 
8.000E+02 2.593E-02 
1.000E+03 2.617E-02 
1.500E+03 2.651E-02 
2.000E+03 2.670E-02 
3.000E+03 2.692E-02 
4.000E+03 2.703E-02 
5.000E+03 2.711E-02 
6.000E+03 2.716E-02 
8.000E+03 2.723E-02 
1.000E+04 2.727E-02 
1.500E+04 2.733E-02 
2.000E+04 2.737E-02 
3.000E+04 2.740E-02 
4.000E+04 2.742E-02 
5.000E+04 2.743E-02 
6.000E+04 2.744E-02 
8.000E+04 2.745E-02 
1.000E+05 2.746E-02 
