Photon    Tot. w/  
Energy    Coherent 

1.000E-03 8.093E+03 
1.500E-03 2.983E+03 
2.000E-03 1.421E+03 
3.000E-03 4.851E+02 
4.000E-03 2.229E+02 
5.000E-03 1.212E+02 
6.000E-03 7.350E+01 
6.539E-03 5.803E+01 
6.539E-03 4.520E+02 
8.000E-03 2.734E+02 
1.000E-02 1.514E+02 
1.500E-02 5.027E+01 
2.000E-02 2.253E+01 
3.000E-02 7.142E+00 
4.000E-02 3.169E+00 
5.000E-02 1.714E+00 
6.000E-02 1.060E+00 
8.000E-02 5.306E-01 
1.000E-01 3.366E-01 
1.500E-01 1.838E-01 
2.000E-01 1.391E-01 
3.000E-01 1.062E-01 
4.000E-01 9.133E-02 
5.000E-01 8.192E-02 
6.000E-01 7.509E-02 
8.000E-01 6.537E-02 
1.000E+00 5.852E-02 
1.022E+00 5.789E-02 
1.250E+00 5.224E-02 
1.500E+00 4.769E-02 
2.000E+00 4.162E-02 
2.044E+00 4.120E-02 
3.000E+00 3.524E-02 
4.000E+00 3.213E-02 
5.000E+00 3.045E-02 
6.000E+00 2.952E-02 
7.000E+00 2.901E-02 
8.000E+00 2.875E-02 
9.000E+00 2.868E-02 
1.000E+01 2.871E-02 
1.100E+01 2.881E-02 
1.200E+01 2.894E-02 
1.300E+01 2.911E-02 
1.400E+01 2.931E-02 
1.500E+01 2.951E-02 
1.600E+01 2.973E-02 
1.800E+01 3.020E-02 
2.000E+01 3.068E-02 
2.200E+01 3.114E-02 
2.400E+01 3.161E-02 
2.600E+01 3.205E-02 
2.800E+01 3.248E-02 
3.000E+01 3.290E-02 
4.000E+01 3.473E-02 
5.000E+01 3.625E-02 
6.000E+01 3.749E-02 
8.000E+01 3.945E-02 
1.000E+02 4.092E-02 
1.500E+02 4.339E-02 
2.000E+02 4.494E-02 
3.000E+02 4.680E-02 
4.000E+02 4.790E-02 
5.000E+02 4.864E-02 
6.000E+02 4.916E-02 
8.000E+02 4.988E-02 
1.000E+03 5.035E-02 
1.500E+03 5.104E-02 
2.000E+03 5.142E-02 
3.000E+03 5.183E-02 
4.000E+03 5.205E-02 
5.000E+03 5.219E-02 
6.000E+03 5.229E-02 
8.000E+03 5.242E-02 
1.000E+04 5.251E-02 
1.500E+04 5.261E-02 
2.000E+04 5.268E-02 
3.000E+04 5.274E-02 
4.000E+04 5.278E-02 
5.000E+04 5.280E-02 
6.000E+04 5.281E-02 
8.000E+04 5.283E-02 
1.000E+05 5.284E-02 
