Photon    Tot. w/  
Energy    Coherent 

1.000E-03 6.627E+03 
1.002E-03 6.781E+03 
1.005E-03 6.932E+03 
1.005E-03 8.522E+03 
1.142E-03 7.111E+03 
1.297E-03 5.934E+03 
1.297E-03 6.831E+03 
1.349E-03 6.265E+03 
1.403E-03 5.746E+03 
1.403E-03 6.092E+03 
1.500E-03 5.274E+03 
1.575E-03 4.739E+03 
1.575E-03 4.952E+03 
2.000E-03 2.878E+03 
3.000E-03 1.093E+03 
4.000E-03 5.367E+02 
5.000E-03 3.062E+02 
6.000E-03 1.927E+02 
6.208E-03 1.767E+02 
6.208E-03 4.893E+02 
6.460E-03 4.431E+02 
6.722E-03 4.013E+02 
6.722E-03 5.458E+02 
6.921E-03 5.076E+02 
7.126E-03 4.725E+02 
7.126E-03 5.447E+02 
8.000E-03 4.094E+02 
1.000E-02 2.300E+02 
1.500E-02 7.923E+01 
2.000E-02 3.684E+01 
3.000E-02 1.246E+01 
4.000E-02 5.810E+00 
4.357E-02 4.643E+00 
4.357E-02 2.366E+01 
5.000E-02 1.650E+01 
6.000E-02 1.033E+01 
8.000E-02 4.840E+00 
1.000E-01 2.688E+00 
1.500E-01 9.522E-01 
2.000E-01 4.845E-01 
3.000E-01 2.178E-01 
4.000E-01 1.412E-01 
5.000E-01 1.083E-01 
6.000E-01 9.040E-02 
8.000E-01 7.127E-02 
1.000E+00 6.072E-02 
1.022E+00 5.983E-02 
1.250E+00 5.261E-02 
1.500E+00 4.769E-02 
2.000E+00 4.236E-02 
2.044E+00 4.206E-02 
3.000E+00 3.856E-02 
4.000E+00 3.776E-02 
5.000E+00 3.806E-02 
6.000E+00 3.879E-02 
7.000E+00 3.974E-02 
8.000E+00 4.081E-02 
9.000E+00 4.192E-02 
1.000E+01 4.304E-02 
1.100E+01 4.416E-02 
1.200E+01 4.525E-02 
1.300E+01 4.633E-02 
1.400E+01 4.735E-02 
1.500E+01 4.832E-02 
1.600E+01 4.925E-02 
1.800E+01 5.097E-02 
2.000E+01 5.258E-02 
2.200E+01 5.403E-02 
2.400E+01 5.543E-02 
2.600E+01 5.669E-02 
2.800E+01 5.791E-02 
3.000E+01 5.900E-02 
4.000E+01 6.365E-02 
5.000E+01 6.723E-02 
6.000E+01 7.009E-02 
8.000E+01 7.437E-02 
1.000E+02 7.745E-02 
1.500E+02 8.245E-02 
2.000E+02 8.547E-02 
3.000E+02 8.903E-02 
4.000E+02 9.113E-02 
5.000E+02 9.248E-02 
6.000E+02 9.348E-02 
8.000E+02 9.480E-02 
1.000E+03 9.564E-02 
1.500E+03 9.689E-02 
2.000E+03 9.758E-02 
3.000E+03 9.831E-02 
4.000E+03 9.872E-02 
5.000E+03 9.896E-02 
6.000E+03 9.913E-02 
8.000E+03 9.937E-02 
1.000E+04 9.950E-02 
1.500E+04 9.970E-02 
2.000E+04 9.983E-02 
3.000E+04 9.995E-02 
4.000E+04 9.999E-02 
5.000E+04 1.000E-01 
6.000E+04 1.001E-01 
8.000E+04 1.001E-01 
1.000E+05 1.001E-01 
