Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.405E+03 
1.500E-03 2.694E+03 
2.000E-03 1.278E+03 
3.000E-03 4.339E+02 
4.000E-03 1.988E+02 
5.000E-03 1.080E+02 
5.989E-03 6.573E+01 
5.989E-03 5.159E+02 
6.000E-03 5.161E+02 
8.000E-03 2.514E+02 
1.000E-02 1.387E+02 
1.500E-02 4.572E+01 
2.000E-02 2.038E+01 
3.000E-02 6.434E+00 
4.000E-02 2.856E+00 
5.000E-02 1.551E+00 
6.000E-02 9.640E-01 
8.000E-02 4.904E-01 
1.000E-01 3.166E-01 
1.500E-01 1.788E-01 
2.000E-01 1.378E-01 
3.000E-01 1.067E-01 
4.000E-01 9.213E-02 
5.000E-01 8.281E-02 
6.000E-01 7.598E-02 
8.000E-01 6.620E-02 
1.000E+00 5.930E-02 
1.022E+00 5.865E-02 
1.250E+00 5.295E-02 
1.500E+00 4.832E-02 
2.000E+00 4.213E-02 
2.044E+00 4.172E-02 
3.000E+00 3.559E-02 
4.000E+00 3.235E-02 
5.000E+00 3.057E-02 
6.000E+00 2.956E-02 
7.000E+00 2.899E-02 
8.000E+00 2.869E-02 
9.000E+00 2.857E-02 
1.000E+01 2.855E-02 
1.100E+01 2.860E-02 
1.200E+01 2.871E-02 
1.300E+01 2.885E-02 
1.400E+01 2.902E-02 
1.500E+01 2.920E-02 
1.600E+01 2.940E-02 
1.800E+01 2.983E-02 
2.000E+01 3.026E-02 
2.200E+01 3.070E-02 
2.400E+01 3.114E-02 
2.600E+01 3.155E-02 
2.800E+01 3.197E-02 
3.000E+01 3.237E-02 
4.000E+01 3.411E-02 
5.000E+01 3.556E-02 
6.000E+01 3.677E-02 
8.000E+01 3.867E-02 
1.000E+02 4.008E-02 
1.500E+02 4.249E-02 
2.000E+02 4.400E-02 
3.000E+02 4.582E-02 
4.000E+02 4.690E-02 
5.000E+02 4.763E-02 
6.000E+02 4.815E-02 
8.000E+02 4.886E-02 
1.000E+03 4.932E-02 
1.500E+03 5.000E-02 
2.000E+03 5.038E-02 
3.000E+03 5.078E-02 
4.000E+03 5.100E-02 
5.000E+03 5.114E-02 
6.000E+03 5.124E-02 
8.000E+03 5.136E-02 
1.000E+04 5.144E-02 
1.500E+04 5.156E-02 
2.000E+04 5.163E-02 
3.000E+04 5.168E-02 
4.000E+04 5.172E-02 
5.000E+04 5.174E-02 
6.000E+04 5.175E-02 
8.000E+04 5.178E-02 
1.000E+05 5.179E-02 
