Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.211E+03 
1.500E-03 7.004E+02 
2.000E-03 3.026E+02 
3.000E-03 9.032E+01 
4.000E-03 3.778E+01 
5.000E-03 1.912E+01 
6.000E-03 1.095E+01 
8.000E-03 4.576E+00 
1.000E-02 2.373E+00 
1.500E-02 8.074E-01 
2.000E-02 4.420E-01 
3.000E-02 2.562E-01 
4.000E-02 2.076E-01 
5.000E-02 1.871E-01 
6.000E-02 1.753E-01 
8.000E-02 1.610E-01 
1.000E-01 1.514E-01 
1.500E-01 1.347E-01 
2.000E-01 1.229E-01 
3.000E-01 1.066E-01 
4.000E-01 9.547E-02 
5.000E-01 8.715E-02 
6.000E-01 8.058E-02 
8.000E-01 7.076E-02 
1.000E+00 6.362E-02 
1.022E+00 6.296E-02 
1.250E+00 5.690E-02 
1.500E+00 5.179E-02 
2.000E+00 4.443E-02 
2.044E+00 4.391E-02 
3.000E+00 3.563E-02 
4.000E+00 3.047E-02 
5.000E+00 2.708E-02 
6.000E+00 2.469E-02 
7.000E+00 2.291E-02 
8.000E+00 2.154E-02 
9.000E+00 2.047E-02 
1.000E+01 1.959E-02 
1.100E+01 1.888E-02 
1.200E+01 1.828E-02 
1.300E+01 1.778E-02 
1.400E+01 1.735E-02 
1.500E+01 1.698E-02 
1.600E+01 1.667E-02 
1.800E+01 1.615E-02 
2.000E+01 1.575E-02 
2.200E+01 1.545E-02 
2.400E+01 1.520E-02 
2.600E+01 1.500E-02 
2.800E+01 1.485E-02 
3.000E+01 1.472E-02 
4.000E+01 1.437E-02 
5.000E+01 1.426E-02 
6.000E+01 1.426E-02 
8.000E+01 1.439E-02 
1.000E+02 1.457E-02 
1.500E+02 1.501E-02 
2.000E+02 1.536E-02 
3.000E+02 1.586E-02 
4.000E+02 1.619E-02 
5.000E+02 1.643E-02 
6.000E+02 1.661E-02 
8.000E+02 1.685E-02 
1.000E+03 1.702E-02 
1.500E+03 1.727E-02 
2.000E+03 1.742E-02 
3.000E+03 1.758E-02 
4.000E+03 1.767E-02 
5.000E+03 1.773E-02 
6.000E+03 1.777E-02 
8.000E+03 1.782E-02 
1.000E+04 1.786E-02 
1.500E+04 1.790E-02 
2.000E+04 1.793E-02 
3.000E+04 1.796E-02 
4.000E+04 1.797E-02 
5.000E+04 1.798E-02 
6.000E+04 1.799E-02 
8.000E+04 1.800E-02 
1.000E+05 1.800E-02 
