Photon    Tot. w/  
Energy    Coherent 

1.000E-03 3.187E+03 
1.500E-03 1.424E+03 
1.588E-03 1.264E+03 
1.588E-03 1.570E+03 
1.614E-03 2.314E+03 
1.639E-03 3.406E+03 
1.639E-03 3.903E+03 
2.000E-03 3.452E+03 
2.024E-03 3.352E+03 
2.024E-03 3.889E+03 
2.140E-03 3.398E+03 
2.263E-03 2.969E+03 
2.263E-03 3.155E+03 
2.375E-03 2.825E+03 
2.491E-03 2.531E+03 
2.491E-03 2.641E+03 
3.000E-03 1.710E+03 
4.000E-03 8.559E+02 
5.000E-03 4.936E+02 
6.000E-03 3.129E+02 
8.000E-03 1.514E+02 
9.244E-03 1.049E+02 
9.244E-03 2.703E+02 
1.000E-02 2.211E+02 
1.035E-02 2.019E+02 
1.035E-02 2.758E+02 
1.061E-02 2.599E+02 
1.087E-02 2.449E+02 
1.087E-02 2.826E+02 
1.500E-02 1.247E+02 
2.000E-02 5.883E+01 
3.000E-02 2.023E+01 
4.000E-02 9.473E+00 
5.000E-02 5.279E+00 
6.000E-02 3.296E+00 
6.331E-02 2.874E+00 
6.331E-02 1.305E+01 
8.000E-02 7.161E+00 
1.000E-01 4.032E+00 
1.500E-01 1.434E+00 
2.000E-01 7.131E-01 
3.000E-01 2.981E-01 
4.000E-01 1.799E-01 
5.000E-01 1.305E-01 
6.000E-01 1.046E-01 
8.000E-01 7.829E-02 
1.000E+00 6.478E-02 
1.022E+00 6.368E-02 
1.250E+00 5.496E-02 
1.500E+00 4.941E-02 
2.000E+00 4.385E-02 
2.044E+00 4.354E-02 
3.000E+00 4.028E-02 
4.000E+00 3.985E-02 
5.000E+00 4.045E-02 
6.000E+00 4.147E-02 
7.000E+00 4.268E-02 
8.000E+00 4.398E-02 
9.000E+00 4.532E-02 
1.000E+01 4.665E-02 
1.100E+01 4.795E-02 
1.200E+01 4.925E-02 
1.300E+01 5.048E-02 
1.400E+01 5.169E-02 
1.500E+01 5.283E-02 
1.600E+01 5.391E-02 
1.800E+01 5.593E-02 
2.000E+01 5.773E-02 
2.200E+01 5.943E-02 
2.400E+01 6.104E-02 
2.600E+01 6.249E-02 
2.800E+01 6.386E-02 
3.000E+01 6.513E-02 
4.000E+01 7.044E-02 
5.000E+01 7.453E-02 
6.000E+01 7.774E-02 
8.000E+01 8.259E-02 
1.000E+02 8.603E-02 
1.500E+02 9.155E-02 
2.000E+02 9.486E-02 
3.000E+02 9.875E-02 
4.000E+02 1.010E-01 
5.000E+02 1.025E-01 
6.000E+02 1.035E-01 
8.000E+02 1.050E-01 
1.000E+03 1.059E-01 
1.500E+03 1.072E-01 
2.000E+03 1.079E-01 
3.000E+03 1.087E-01 
4.000E+03 1.091E-01 
5.000E+03 1.094E-01 
6.000E+03 1.096E-01 
8.000E+03 1.098E-01 
1.000E+04 1.100E-01 
1.500E+04 1.102E-01 
2.000E+04 1.103E-01 
3.000E+04 1.104E-01 
4.000E+04 1.105E-01 
5.000E+04 1.105E-01 
6.000E+04 1.105E-01 
8.000E+04 1.106E-01 
1.000E+05 1.106E-01 
