Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.841E+03 
1.111E-03 6.512E+03 
1.235E-03 5.408E+03 
1.235E-03 5.752E+03 
1.500E-03 3.953E+03 
1.554E-03 3.680E+03 
1.554E-03 3.726E+03 
1.651E-03 3.290E+03 
1.755E-03 2.904E+03 
1.755E-03 2.958E+03 
2.000E-03 2.249E+03 
3.000E-03 9.290E+02 
4.000E-03 4.844E+02 
4.132E-03 4.496E+02 
4.132E-03 9.929E+02 
4.247E-03 9.436E+02 
4.366E-03 8.968E+02 
4.366E-03 1.243E+03 
4.661E-03 1.067E+03 
4.977E-03 9.157E+02 
4.977E-03 1.072E+03 
5.000E-03 1.056E+03 
6.000E-03 6.685E+02 
6.147E-03 6.277E+02 
6.147E-03 6.652E+02 
6.348E-03 6.144E+02 
6.556E-03 5.676E+02 
6.556E-03 5.912E+02 
8.000E-03 3.642E+02 
1.000E-02 2.103E+02 
1.500E-02 7.712E+01 
1.945E-02 4.050E+01 
1.945E-02 9.086E+01 
2.000E-02 8.391E+01 
2.439E-02 4.996E+01 
2.439E-02 7.070E+01 
2.483E-02 6.745E+01 
2.527E-02 6.434E+01 
2.527E-02 7.382E+01 
3.000E-02 4.825E+01 
4.000E-02 2.348E+01 
5.000E-02 1.336E+01 
6.000E-02 8.424E+00 
8.000E-02 4.082E+00 
1.000E-01 2.350E+00 
1.316E-01 1.218E+00 
1.316E-01 4.058E+00 
1.500E-01 2.970E+00 
2.000E-01 1.496E+00 
3.000E-01 5.999E-01 
4.000E-01 3.357E-01 
5.000E-01 2.250E-01 
6.000E-01 1.680E-01 
8.000E-01 1.125E-01 
1.000E+00 8.621E-02 
1.022E+00 8.416E-02 
1.250E+00 6.867E-02 
1.500E+00 5.974E-02 
2.000E+00 5.177E-02 
2.044E+00 5.137E-02 
3.000E+00 4.688E-02 
4.000E+00 4.612E-02 
5.000E+00 4.676E-02 
6.000E+00 4.788E-02 
7.000E+00 4.935E-02 
8.000E+00 5.094E-02 
9.000E+00 5.260E-02 
1.000E+01 5.424E-02 
1.100E+01 5.587E-02 
1.200E+01 5.748E-02 
1.300E+01 5.902E-02 
1.400E+01 6.049E-02 
1.500E+01 6.192E-02 
1.600E+01 6.330E-02 
1.800E+01 6.581E-02 
2.000E+01 6.812E-02 
2.200E+01 7.029E-02 
2.400E+01 7.229E-02 
2.600E+01 7.415E-02 
2.800E+01 7.587E-02 
3.000E+01 7.746E-02 
4.000E+01 8.411E-02 
5.000E+01 8.919E-02 
6.000E+01 9.319E-02 
8.000E+01 9.916E-02 
1.000E+02 1.034E-01 
1.500E+02 1.102E-01 
2.000E+02 1.142E-01 
3.000E+02 1.190E-01 
4.000E+02 1.217E-01 
5.000E+02 1.236E-01 
6.000E+02 1.249E-01 
8.000E+02 1.266E-01 
1.000E+03 1.277E-01 
1.500E+03 1.293E-01 
2.000E+03 1.302E-01 
3.000E+03 1.311E-01 
4.000E+03 1.317E-01 
5.000E+03 1.320E-01 
6.000E+03 1.323E-01 
8.000E+03 1.326E-01 
1.000E+04 1.328E-01 
1.500E+04 1.330E-01 
2.000E+04 1.332E-01 
3.000E+04 1.333E-01 
4.000E+04 1.334E-01 
5.000E+04 1.334E-01 
6.000E+04 1.335E-01 
8.000E+04 1.335E-01 
1.000E+05 1.335E-01 
