Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.214E+00 
1.500E-03 2.148E+00 
2.000E-03 1.059E+00 
3.000E-03 5.611E-01 
4.000E-03 4.546E-01 
5.000E-03 4.193E-01 
6.000E-03 4.042E-01 
8.000E-03 3.914E-01 
1.000E-02 3.854E-01 
1.500E-02 3.764E-01 
2.000E-02 3.695E-01 
3.000E-02 3.570E-01 
4.000E-02 3.458E-01 
5.000E-02 3.355E-01 
6.000E-02 3.260E-01 
8.000E-02 3.091E-01 
1.000E-01 2.944E-01 
1.500E-01 2.651E-01 
2.000E-01 2.429E-01 
3.000E-01 2.112E-01 
4.000E-01 1.893E-01 
5.000E-01 1.729E-01 
6.000E-01 1.599E-01 
8.000E-01 1.405E-01 
1.000E+00 1.263E-01 
1.022E+00 1.250E-01 
1.250E+00 1.129E-01 
1.500E+00 1.027E-01 
2.000E+00 8.769E-02 
2.044E+00 8.663E-02 
3.000E+00 6.921E-02 
4.000E+00 5.807E-02 
5.000E+00 5.049E-02 
6.000E+00 4.498E-02 
7.000E+00 4.078E-02 
8.000E+00 3.746E-02 
9.000E+00 3.478E-02 
1.000E+01 3.254E-02 
1.100E+01 3.067E-02 
1.200E+01 2.906E-02 
1.300E+01 2.767E-02 
1.400E+01 2.646E-02 
1.500E+01 2.539E-02 
1.600E+01 2.445E-02 
1.800E+01 2.284E-02 
2.000E+01 2.153E-02 
2.200E+01 2.045E-02 
2.400E+01 1.953E-02 
2.600E+01 1.875E-02 
2.800E+01 1.807E-02 
3.000E+01 1.748E-02 
4.000E+01 1.542E-02 
5.000E+01 1.419E-02 
6.000E+01 1.339E-02 
8.000E+01 1.245E-02 
1.000E+02 1.194E-02 
1.500E+02 1.140E-02 
2.000E+02 1.124E-02 
3.000E+02 1.121E-02 
4.000E+02 1.127E-02 
5.000E+02 1.135E-02 
6.000E+02 1.142E-02 
8.000E+02 1.154E-02 
1.000E+03 1.164E-02 
1.500E+03 1.179E-02 
2.000E+03 1.189E-02 
3.000E+03 1.201E-02 
4.000E+03 1.208E-02 
5.000E+03 1.213E-02 
6.000E+03 1.217E-02 
8.000E+03 1.221E-02 
1.000E+04 1.224E-02 
1.500E+04 1.228E-02 
2.000E+04 1.231E-02 
3.000E+04 1.233E-02 
4.000E+04 1.235E-02 
5.000E+04 1.236E-02 
6.000E+04 1.237E-02 
8.000E+04 1.237E-02 
1.000E+05 1.238E-02 
