Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.748E+03 
1.187E-03 1.966E+03 
1.409E-03 1.408E+03 
1.409E-03 2.039E+03 
1.431E-03 2.974E+03 
1.453E-03 4.331E+03 
1.453E-03 4.871E+03 
1.500E-03 6.070E+03 
1.812E-03 3.841E+03 
1.812E-03 4.453E+03 
2.000E-03 3.523E+03 
2.006E-03 3.499E+03 
2.006E-03 3.718E+03 
2.104E-03 3.337E+03 
2.206E-03 2.995E+03 
2.206E-03 3.127E+03 
3.000E-03 1.526E+03 
4.000E-03 7.587E+02 
5.000E-03 4.360E+02 
6.000E-03 2.757E+02 
8.000E-03 1.330E+02 
8.358E-03 1.190E+02 
8.358E-03 3.126E+02 
8.799E-03 2.737E+02 
9.264E-03 2.398E+02 
9.264E-03 3.271E+02 
9.505E-03 3.073E+02 
9.751E-03 2.886E+02 
9.751E-03 3.330E+02 
1.000E-02 3.129E+02 
1.500E-02 1.106E+02 
2.000E-02 5.203E+01 
3.000E-02 1.780E+01 
4.000E-02 8.315E+00 
5.000E-02 4.634E+00 
5.749E-02 3.233E+00 
5.749E-02 1.513E+01 
6.000E-02 1.362E+01 
8.000E-02 6.479E+00 
1.000E-01 3.628E+00 
1.500E-01 1.285E+00 
2.000E-01 6.415E-01 
3.000E-01 2.724E-01 
4.000E-01 1.672E-01 
5.000E-01 1.230E-01 
6.000E-01 9.968E-02 
8.000E-01 7.569E-02 
1.000E+00 6.318E-02 
1.022E+00 6.213E-02 
1.250E+00 5.392E-02 
1.500E+00 4.860E-02 
2.000E+00 4.317E-02 
2.044E+00 4.287E-02 
3.000E+00 3.958E-02 
4.000E+00 3.907E-02 
5.000E+00 3.961E-02 
6.000E+00 4.056E-02 
7.000E+00 4.171E-02 
8.000E+00 4.294E-02 
9.000E+00 4.422E-02 
1.000E+01 4.549E-02 
1.100E+01 4.675E-02 
1.200E+01 4.799E-02 
1.300E+01 4.920E-02 
1.400E+01 5.034E-02 
1.500E+01 5.141E-02 
1.600E+01 5.245E-02 
1.800E+01 5.439E-02 
2.000E+01 5.613E-02 
2.200E+01 5.778E-02 
2.400E+01 5.930E-02 
2.600E+01 6.070E-02 
2.800E+01 6.204E-02 
3.000E+01 6.327E-02 
4.000E+01 6.837E-02 
5.000E+01 7.231E-02 
6.000E+01 7.541E-02 
8.000E+01 8.007E-02 
1.000E+02 8.344E-02 
1.500E+02 8.881E-02 
2.000E+02 9.203E-02 
3.000E+02 9.583E-02 
4.000E+02 9.801E-02 
5.000E+02 9.946E-02 
6.000E+02 1.005E-01 
8.000E+02 1.019E-01 
1.000E+03 1.027E-01 
1.500E+03 1.041E-01 
2.000E+03 1.048E-01 
3.000E+03 1.055E-01 
4.000E+03 1.059E-01 
5.000E+03 1.062E-01 
6.000E+03 1.064E-01 
8.000E+03 1.066E-01 
1.000E+04 1.068E-01 
1.500E+04 1.070E-01 
2.000E+04 1.071E-01 
3.000E+04 1.072E-01 
4.000E+04 1.073E-01 
5.000E+04 1.073E-01 
6.000E+04 1.073E-01 
8.000E+04 1.074E-01 
1.000E+05 1.074E-01 
