Photon    Tot. w/  
Energy    Coherent 

1.000E-03 8.585E+03 
1.500E-03 3.491E+03 
2.000E-03 1.767E+03 
3.000E-03 6.533E+02 
4.000E-03 3.169E+02 
4.132E-03 2.918E+02 
4.132E-03 8.695E+02 
4.254E-03 8.222E+02 
4.380E-03 7.773E+02 
4.380E-03 1.050E+03 
4.537E-03 9.686E+02 
4.698E-03 8.939E+02 
4.698E-03 1.029E+03 
5.000E-03 8.848E+02 
6.000E-03 5.567E+02 
8.000E-03 2.631E+02 
1.000E-02 1.458E+02 
1.500E-02 4.924E+01 
2.000E-02 2.268E+01 
3.000E-02 7.629E+00 
3.049E-02 7.306E+00 
3.049E-02 4.073E+01 
4.000E-02 2.026E+01 
5.000E-02 1.120E+01 
6.000E-02 6.875E+00 
8.000E-02 3.176E+00 
1.000E-01 1.758E+00 
1.500E-01 6.361E-01 
2.000E-01 3.381E-01 
3.000E-01 1.677E-01 
4.000E-01 1.172E-01 
5.000E-01 9.453E-02 
6.000E-01 8.153E-02 
8.000E-01 6.670E-02 
1.000E+00 5.797E-02 
1.022E+00 5.720E-02 
1.250E+00 5.085E-02 
1.500E+00 4.628E-02 
2.000E+00 4.105E-02 
2.044E+00 4.074E-02 
3.000E+00 3.686E-02 
4.000E+00 3.567E-02 
5.000E+00 3.559E-02 
6.000E+00 3.598E-02 
7.000E+00 3.664E-02 
8.000E+00 3.745E-02 
9.000E+00 3.831E-02 
1.000E+01 3.921E-02 
1.100E+01 4.011E-02 
1.200E+01 4.101E-02 
1.300E+01 4.189E-02 
1.400E+01 4.272E-02 
1.500E+01 4.351E-02 
1.600E+01 4.427E-02 
1.800E+01 4.571E-02 
2.000E+01 4.704E-02 
2.200E+01 4.830E-02 
2.400E+01 4.947E-02 
2.600E+01 5.056E-02 
2.800E+01 5.158E-02 
3.000E+01 5.253E-02 
4.000E+01 5.650E-02 
5.000E+01 5.962E-02 
6.000E+01 6.205E-02 
8.000E+01 6.579E-02 
1.000E+02 6.846E-02 
1.500E+02 7.285E-02 
2.000E+02 7.548E-02 
3.000E+02 7.861E-02 
4.000E+02 8.042E-02 
5.000E+02 8.164E-02 
6.000E+02 8.249E-02 
8.000E+02 8.367E-02 
1.000E+03 8.442E-02 
1.500E+03 8.552E-02 
2.000E+03 8.609E-02 
3.000E+03 8.676E-02 
4.000E+03 8.710E-02 
5.000E+03 8.734E-02 
6.000E+03 8.748E-02 
8.000E+03 8.768E-02 
1.000E+04 8.782E-02 
1.500E+04 8.797E-02 
2.000E+04 8.806E-02 
3.000E+04 8.816E-02 
4.000E+04 8.821E-02 
5.000E+04 8.826E-02 
6.000E+04 8.831E-02 
8.000E+04 8.831E-02 
1.000E+05 8.836E-02 
