Photon    Tot. w/  
Energy    Coherent 

1.000E-03 6.627E+03 
1.022E-03 6.373E+03 
1.045E-03 6.129E+03 
1.045E-03 6.521E+03 
1.153E-03 5.432E+03 
1.273E-03 4.527E+03 
1.273E-03 4.590E+03 
1.354E-03 4.063E+03 
1.441E-03 3.598E+03 
1.441E-03 3.669E+03 
1.500E-03 3.380E+03 
2.000E-03 1.865E+03 
3.000E-03 7.693E+02 
3.552E-03 5.257E+02 
3.552E-03 1.266E+03 
3.639E-03 1.186E+03 
3.728E-03 1.112E+03 
3.728E-03 1.582E+03 
4.000E-03 1.329E+03 
4.303E-03 1.110E+03 
4.303E-03 1.292E+03 
5.000E-03 8.891E+02 
5.182E-03 8.117E+02 
5.182E-03 8.611E+02 
5.362E-03 7.919E+02 
5.548E-03 7.282E+02 
5.548E-03 7.590E+02 
6.000E-03 6.284E+02 
8.000E-03 3.107E+02 
1.000E-02 1.791E+02 
1.500E-02 6.527E+01 
1.717E-02 4.662E+01 
1.717E-02 1.070E+02 
2.000E-02 7.107E+01 
2.095E-02 6.300E+01 
2.095E-02 8.837E+01 
2.135E-02 8.421E+01 
2.176E-02 8.024E+01 
2.176E-02 9.221E+01 
3.000E-02 4.128E+01 
4.000E-02 1.983E+01 
5.000E-02 1.121E+01 
6.000E-02 7.034E+00 
8.000E-02 3.396E+00 
1.000E-01 1.955E+00 
1.156E-01 1.378E+00 
1.156E-01 4.894E+00 
1.500E-01 2.591E+00 
2.000E-01 1.298E+00 
3.000E-01 5.193E-01 
4.000E-01 2.922E-01 
5.000E-01 1.976E-01 
6.000E-01 1.490E-01 
8.000E-01 1.016E-01 
1.000E+00 7.895E-02 
1.022E+00 7.718E-02 
1.250E+00 6.370E-02 
1.500E+00 5.587E-02 
2.000E+00 4.878E-02 
2.044E+00 4.840E-02 
3.000E+00 4.447E-02 
4.000E+00 4.392E-02 
5.000E+00 4.463E-02 
6.000E+00 4.583E-02 
7.000E+00 4.727E-02 
8.000E+00 4.879E-02 
9.000E+00 5.039E-02 
1.000E+01 5.195E-02 
1.100E+01 5.352E-02 
1.200E+01 5.502E-02 
1.300E+01 5.648E-02 
1.400E+01 5.791E-02 
1.500E+01 5.927E-02 
1.600E+01 6.056E-02 
1.800E+01 6.294E-02 
2.000E+01 6.512E-02 
2.200E+01 6.715E-02 
2.400E+01 6.903E-02 
2.600E+01 7.079E-02 
2.800E+01 7.239E-02 
3.000E+01 7.391E-02 
4.000E+01 8.017E-02 
5.000E+01 8.493E-02 
6.000E+01 8.870E-02 
8.000E+01 9.430E-02 
1.000E+02 9.831E-02 
1.500E+02 1.047E-01 
2.000E+02 1.085E-01 
3.000E+02 1.131E-01 
4.000E+02 1.157E-01 
5.000E+02 1.174E-01 
6.000E+02 1.186E-01 
8.000E+02 1.203E-01 
1.000E+03 1.213E-01 
1.500E+03 1.229E-01 
2.000E+03 1.237E-01 
3.000E+03 1.246E-01 
4.000E+03 1.252E-01 
5.000E+03 1.255E-01 
6.000E+03 1.257E-01 
8.000E+03 1.260E-01 
1.000E+04 1.261E-01 
1.500E+04 1.264E-01 
2.000E+04 1.265E-01 
3.000E+04 1.267E-01 
4.000E+04 1.267E-01 
5.000E+04 1.268E-01 
6.000E+04 1.268E-01 
8.000E+04 1.269E-01 
1.000E+05 1.269E-01 
