Photon    Tot. w/  
Energy    Coherent 

1.000E-03 3.335E+03 
1.500E-03 1.489E+03 
1.662E-03 1.203E+03 
1.662E-03 1.487E+03 
1.689E-03 2.193E+03 
1.716E-03 3.233E+03 
1.716E-03 3.644E+03 
2.000E-03 3.597E+03 
2.108E-03 3.153E+03 
2.108E-03 3.657E+03 
2.233E-03 3.183E+03 
2.365E-03 2.769E+03 
2.365E-03 2.943E+03 
2.480E-03 2.637E+03 
2.601E-03 2.363E+03 
2.601E-03 2.465E+03 
3.000E-03 1.768E+03 
4.000E-03 8.857E+02 
5.000E-03 5.114E+02 
6.000E-03 3.244E+02 
8.000E-03 1.571E+02 
9.561E-03 9.997E+01 
9.561E-03 2.557E+02 
1.000E-02 2.301E+02 
1.074E-02 1.894E+02 
1.074E-02 2.589E+02 
1.100E-02 2.443E+02 
1.127E-02 2.306E+02 
1.127E-02 2.659E+02 
1.500E-02 1.290E+02 
2.000E-02 6.087E+01 
3.000E-02 2.098E+01 
4.000E-02 9.827E+00 
5.000E-02 5.479E+00 
6.000E-02 3.420E+00 
6.535E-02 2.751E+00 
6.535E-02 1.236E+01 
8.000E-02 7.350E+00 
1.000E-01 4.153E+00 
1.500E-01 1.477E+00 
2.000E-01 7.338E-01 
3.000E-01 3.055E-01 
4.000E-01 1.834E-01 
5.000E-01 1.324E-01 
6.000E-01 1.058E-01 
8.000E-01 7.879E-02 
1.000E+00 6.502E-02 
1.022E+00 6.388E-02 
1.250E+00 5.505E-02 
1.500E+00 4.944E-02 
2.000E+00 4.388E-02 
2.044E+00 4.357E-02 
3.000E+00 4.030E-02 
4.000E+00 3.989E-02 
5.000E+00 4.052E-02 
6.000E+00 4.155E-02 
7.000E+00 4.278E-02 
8.000E+00 4.409E-02 
9.000E+00 4.543E-02 
1.000E+01 4.678E-02 
1.100E+01 4.809E-02 
1.200E+01 4.940E-02 
1.300E+01 5.066E-02 
1.400E+01 5.187E-02 
1.500E+01 5.301E-02 
1.600E+01 5.410E-02 
1.800E+01 5.610E-02 
2.000E+01 5.796E-02 
2.200E+01 5.969E-02 
2.400E+01 6.125E-02 
2.600E+01 6.274E-02 
2.800E+01 6.411E-02 
3.000E+01 6.542E-02 
4.000E+01 7.075E-02 
5.000E+01 7.484E-02 
6.000E+01 7.808E-02 
8.000E+01 8.293E-02 
1.000E+02 8.640E-02 
1.500E+02 9.194E-02 
2.000E+02 9.528E-02 
3.000E+02 9.920E-02 
4.000E+02 1.014E-01 
5.000E+02 1.029E-01 
6.000E+02 1.040E-01 
8.000E+02 1.054E-01 
1.000E+03 1.063E-01 
1.500E+03 1.077E-01 
2.000E+03 1.084E-01 
3.000E+03 1.092E-01 
4.000E+03 1.096E-01 
5.000E+03 1.099E-01 
6.000E+03 1.100E-01 
8.000E+03 1.103E-01 
1.000E+04 1.104E-01 
1.500E+04 1.106E-01 
2.000E+04 1.108E-01 
3.000E+04 1.109E-01 
4.000E+04 1.109E-01 
5.000E+04 1.110E-01 
6.000E+04 1.110E-01 
8.000E+04 1.110E-01 
1.000E+05 1.111E-01 
