Photon    Tot. w/  
Energy    Coherent 

1.000E-03 5.718E+03 
1.500E-03 2.241E+03 
2.000E-03 1.119E+03 
2.838E-03 4.705E+02 
2.838E-03 1.644E+03 
2.902E-03 1.545E+03 
2.967E-03 1.452E+03 
2.967E-03 1.975E+03 
3.000E-03 1.963E+03 
3.224E-03 1.637E+03 
3.224E-03 1.874E+03 
4.000E-03 1.095E+03 
5.000E-03 6.167E+02 
6.000E-03 3.831E+02 
8.000E-03 1.785E+02 
1.000E-02 9.801E+01 
1.500E-02 3.270E+01 
2.000E-02 1.499E+01 
2.212E-02 1.143E+01 
2.212E-02 6.876E+01 
3.000E-02 3.140E+01 
4.000E-02 1.451E+01 
5.000E-02 7.920E+00 
6.000E-02 4.822E+00 
8.000E-02 2.215E+00 
1.000E-01 1.232E+00 
1.500E-01 4.647E-01 
2.000E-01 2.618E-01 
3.000E-01 1.440E-01 
4.000E-01 1.074E-01 
5.000E-01 8.992E-02 
6.000E-01 7.933E-02 
8.000E-01 6.648E-02 
1.000E+00 5.846E-02 
1.022E+00 5.773E-02 
1.250E+00 5.165E-02 
1.500E+00 4.710E-02 
2.000E+00 4.165E-02 
2.044E+00 4.131E-02 
3.000E+00 3.692E-02 
4.000E+00 3.527E-02 
5.000E+00 3.482E-02 
6.000E+00 3.491E-02 
7.000E+00 3.533E-02 
8.000E+00 3.591E-02 
9.000E+00 3.658E-02 
1.000E+01 3.730E-02 
1.100E+01 3.803E-02 
1.200E+01 3.877E-02 
1.300E+01 3.949E-02 
1.400E+01 4.017E-02 
1.500E+01 4.084E-02 
1.600E+01 4.148E-02 
1.800E+01 4.272E-02 
2.000E+01 4.388E-02 
2.200E+01 4.498E-02 
2.400E+01 4.601E-02 
2.600E+01 4.698E-02 
2.800E+01 4.787E-02 
3.000E+01 4.872E-02 
4.000E+01 5.227E-02 
5.000E+01 5.503E-02 
6.000E+01 5.725E-02 
8.000E+01 6.060E-02 
1.000E+02 6.304E-02 
1.500E+02 6.702E-02 
2.000E+02 6.946E-02 
3.000E+02 7.232E-02 
4.000E+02 7.399E-02 
5.000E+02 7.506E-02 
6.000E+02 7.591E-02 
8.000E+02 7.692E-02 
1.000E+03 7.766E-02 
1.500E+03 7.863E-02 
2.000E+03 7.920E-02 
3.000E+03 7.978E-02 
4.000E+03 8.013E-02 
5.000E+03 8.030E-02 
6.000E+03 8.047E-02 
8.000E+03 8.065E-02 
1.000E+04 8.077E-02 
1.500E+04 8.094E-02 
2.000E+04 8.100E-02 
3.000E+04 8.112E-02 
4.000E+04 8.118E-02 
5.000E+04 8.118E-02 
6.000E+04 8.124E-02 
8.000E+04 8.124E-02 
1.000E+05 8.124E-02 
