Photon    Tot. w/  
Energy    Coherent 

1.000E-03 1.229E+03 
1.500E-03 3.767E+02 
2.000E-03 1.597E+02 
3.000E-03 4.667E+01 
4.000E-03 1.927E+01 
5.000E-03 9.681E+00 
6.000E-03 5.539E+00 
8.000E-03 2.346E+00 
1.000E-02 1.255E+00 
1.500E-02 4.827E-01 
2.000E-02 3.014E-01 
3.000E-02 2.064E-01 
4.000E-02 1.794E-01 
5.000E-02 1.665E-01 
6.000E-02 1.584E-01 
8.000E-02 1.472E-01 
1.000E-01 1.391E-01 
1.500E-01 1.244E-01 
2.000E-01 1.136E-01 
3.000E-01 9.863E-02 
4.000E-01 8.835E-02 
5.000E-01 8.066E-02 
6.000E-01 7.461E-02 
8.000E-01 6.549E-02 
1.000E+00 5.891E-02 
1.022E+00 5.829E-02 
1.250E+00 5.267E-02 
1.500E+00 4.792E-02 
2.000E+00 4.108E-02 
2.044E+00 4.060E-02 
3.000E+00 3.284E-02 
4.000E+00 2.798E-02 
5.000E+00 2.477E-02 
6.000E+00 2.248E-02 
7.000E+00 2.077E-02 
8.000E+00 1.945E-02 
9.000E+00 1.840E-02 
1.000E+01 1.755E-02 
1.100E+01 1.685E-02 
1.200E+01 1.625E-02 
1.300E+01 1.575E-02 
1.400E+01 1.532E-02 
1.500E+01 1.495E-02 
1.600E+01 1.463E-02 
1.800E+01 1.410E-02 
2.000E+01 1.368E-02 
2.200E+01 1.335E-02 
2.400E+01 1.309E-02 
2.600E+01 1.287E-02 
2.800E+01 1.269E-02 
3.000E+01 1.255E-02 
4.000E+01 1.210E-02 
5.000E+01 1.191E-02 
6.000E+01 1.184E-02 
8.000E+01 1.184E-02 
1.000E+02 1.192E-02 
1.500E+02 1.219E-02 
2.000E+02 1.244E-02 
3.000E+02 1.281E-02 
4.000E+02 1.306E-02 
5.000E+02 1.324E-02 
6.000E+02 1.339E-02 
8.000E+02 1.359E-02 
1.000E+03 1.372E-02 
1.500E+03 1.393E-02 
2.000E+03 1.405E-02 
3.000E+03 1.418E-02 
4.000E+03 1.426E-02 
5.000E+03 1.431E-02 
6.000E+03 1.435E-02 
8.000E+03 1.439E-02 
1.000E+04 1.442E-02 
1.500E+04 1.446E-02 
2.000E+04 1.449E-02 
3.000E+04 1.451E-02 
4.000E+04 1.453E-02 
5.000E+04 1.453E-02 
6.000E+04 1.454E-02 
8.000E+04 1.455E-02 
1.000E+05 1.455E-02 
