Photon    Tot. w/  
Energy    Coherent 

1.000E-03 5.724E+03 
1.500E-03 2.604E+03 
2.000E-03 1.423E+03 
2.683E-03 7.481E+02 
2.683E-03 2.206E+03 
2.740E-03 1.978E+03 
2.798E-03 1.775E+03 
2.798E-03 2.712E+03 
3.000E-03 2.155E+03 
3.302E-03 1.693E+03 
3.302E-03 1.956E+03 
3.567E-03 1.618E+03 
3.854E-03 1.339E+03 
3.854E-03 1.419E+03 
4.000E-03 1.299E+03 
4.149E-03 1.190E+03 
4.149E-03 1.242E+03 
5.000E-03 7.932E+02 
6.000E-03 5.085E+02 
8.000E-03 2.494E+02 
1.000E-02 1.427E+02 
1.381E-02 6.336E+01 
1.381E-02 1.513E+02 
1.500E-02 1.219E+02 
1.624E-02 9.850E+01 
1.624E-02 1.361E+02 
1.659E-02 1.295E+02 
1.694E-02 1.232E+02 
1.694E-02 1.419E+02 
2.000E-02 9.353E+01 
3.000E-02 3.303E+01 
4.000E-02 1.569E+01 
5.000E-02 8.801E+00 
6.000E-02 5.498E+00 
8.000E-02 2.649E+00 
9.310E-02 1.820E+00 
9.310E-02 7.140E+00 
1.000E-01 5.990E+00 
1.500E-01 2.170E+00 
2.000E-01 1.077E+00 
3.000E-01 4.334E-01 
4.000E-01 2.483E-01 
5.000E-01 1.714E-01 
6.000E-01 1.318E-01 
8.000E-01 9.284E-02 
1.000E+00 7.391E-02 
1.022E+00 7.241E-02 
1.250E+00 6.085E-02 
1.500E+00 5.394E-02 
2.000E+00 4.749E-02 
2.044E+00 4.716E-02 
3.000E+00 4.362E-02 
4.000E+00 4.323E-02 
5.000E+00 4.399E-02 
6.000E+00 4.523E-02 
7.000E+00 4.666E-02 
8.000E+00 4.816E-02 
9.000E+00 4.971E-02 
1.000E+01 5.124E-02 
1.100E+01 5.274E-02 
1.200E+01 5.422E-02 
1.300E+01 5.565E-02 
1.400E+01 5.702E-02 
1.500E+01 5.835E-02 
1.600E+01 5.958E-02 
1.800E+01 6.189E-02 
2.000E+01 6.399E-02 
2.200E+01 6.595E-02 
2.400E+01 6.777E-02 
2.600E+01 6.947E-02 
2.800E+01 7.102E-02 
3.000E+01 7.249E-02 
4.000E+01 7.855E-02 
5.000E+01 8.319E-02 
6.000E+01 8.684E-02 
8.000E+01 9.227E-02 
1.000E+02 9.613E-02 
1.500E+02 1.023E-01 
2.000E+02 1.061E-01 
3.000E+02 1.104E-01 
4.000E+02 1.129E-01 
5.000E+02 1.146E-01 
6.000E+02 1.158E-01 
8.000E+02 1.174E-01 
1.000E+03 1.184E-01 
1.500E+03 1.199E-01 
2.000E+03 1.207E-01 
3.000E+03 1.216E-01 
4.000E+03 1.220E-01 
5.000E+03 1.223E-01 
6.000E+03 1.225E-01 
8.000E+03 1.228E-01 
1.000E+04 1.230E-01 
1.500E+04 1.232E-01 
2.000E+04 1.234E-01 
3.000E+04 1.235E-01 
4.000E+04 1.236E-01 
5.000E+04 1.236E-01 
6.000E+04 1.236E-01 
8.000E+04 1.237E-01 
1.000E+05 1.237E-01 
