Photon    Tot. w/  
Energy    Coherent 

1.000E-03 1.058E+04 
1.115E-03 8.151E+03 
1.242E-03 6.279E+03 
1.242E-03 7.223E+03 
1.289E-03 6.661E+03 
1.337E-03 6.142E+03 
1.337E-03 6.514E+03 
1.500E-03 5.090E+03 
1.511E-03 5.009E+03 
1.511E-03 5.236E+03 
2.000E-03 2.768E+03 
3.000E-03 1.047E+03 
4.000E-03 5.132E+02 
5.000E-03 2.925E+02 
5.964E-03 1.868E+02 
5.964E-03 5.170E+02 
6.000E-03 5.144E+02 
6.440E-03 4.310E+02 
6.440E-03 5.855E+02 
6.635E-03 5.445E+02 
6.835E-03 5.058E+02 
6.835E-03 5.836E+02 
8.000E-03 3.950E+02 
1.000E-02 2.209E+02 
1.500E-02 7.598E+01 
2.000E-02 3.526E+01 
3.000E-02 1.192E+01 
4.000E-02 5.558E+00 
4.199E-02 4.892E+00 
4.199E-02 2.518E+01 
5.000E-02 1.599E+01 
6.000E-02 9.978E+00 
8.000E-02 4.662E+00 
1.000E-01 2.588E+00 
1.500E-01 9.180E-01 
2.000E-01 4.687E-01 
3.000E-01 2.127E-01 
4.000E-01 1.389E-01 
5.000E-01 1.071E-01 
6.000E-01 8.977E-02 
8.000E-01 7.105E-02 
1.000E+00 6.070E-02 
1.022E+00 5.981E-02 
1.250E+00 5.268E-02 
1.500E+00 4.779E-02 
2.000E+00 4.244E-02 
2.044E+00 4.214E-02 
3.000E+00 3.858E-02 
4.000E+00 3.774E-02 
5.000E+00 3.800E-02 
6.000E+00 3.870E-02 
7.000E+00 3.963E-02 
8.000E+00 4.067E-02 
9.000E+00 4.177E-02 
1.000E+01 4.288E-02 
1.100E+01 4.398E-02 
1.200E+01 4.506E-02 
1.300E+01 4.612E-02 
1.400E+01 4.713E-02 
1.500E+01 4.809E-02 
1.600E+01 4.900E-02 
1.800E+01 5.069E-02 
2.000E+01 5.226E-02 
2.200E+01 5.376E-02 
2.400E+01 5.512E-02 
2.600E+01 5.637E-02 
2.800E+01 5.754E-02 
3.000E+01 5.866E-02 
4.000E+01 6.327E-02 
5.000E+01 6.681E-02 
6.000E+01 6.962E-02 
8.000E+01 7.389E-02 
1.000E+02 7.691E-02 
1.500E+02 8.187E-02 
2.000E+02 8.488E-02 
3.000E+02 8.845E-02 
4.000E+02 9.052E-02 
5.000E+02 9.186E-02 
6.000E+02 9.284E-02 
8.000E+02 9.415E-02 
1.000E+03 9.501E-02 
1.500E+03 9.625E-02 
2.000E+03 9.691E-02 
3.000E+03 9.766E-02 
4.000E+03 9.808E-02 
5.000E+03 9.833E-02 
6.000E+03 9.850E-02 
8.000E+03 9.870E-02 
1.000E+04 9.887E-02 
1.500E+04 9.904E-02 
2.000E+04 9.917E-02 
3.000E+04 9.929E-02 
4.000E+04 9.934E-02 
5.000E+04 9.938E-02 
6.000E+04 9.942E-02 
8.000E+04 9.942E-02 
1.000E+05 9.946E-02 
