Photon    Tot. w/  
Energy    Coherent 

1.000E-03 1.553E+03 
1.010E-03 1.518E+03 
1.020E-03 1.484E+03 
1.020E-03 3.526E+03 
1.031E-03 4.786E+03 
1.043E-03 6.493E+03 
1.043E-03 8.239E+03 
1.116E-03 7.793E+03 
1.194E-03 7.373E+03 
1.194E-03 8.396E+03 
1.500E-03 4.824E+03 
2.000E-03 2.374E+03 
3.000E-03 8.311E+02 
4.000E-03 3.866E+02 
5.000E-03 2.118E+02 
6.000E-03 1.290E+02 
8.000E-03 5.874E+01 
9.659E-03 3.506E+01 
9.659E-03 2.536E+02 
1.000E-02 2.331E+02 
1.500E-02 8.117E+01 
2.000E-02 3.719E+01 
3.000E-02 1.207E+01 
4.000E-02 5.384E+00 
5.000E-02 2.892E+00 
6.000E-02 1.760E+00 
8.000E-02 8.365E-01 
1.000E-01 4.973E-01 
1.500E-01 2.341E-01 
2.000E-01 1.617E-01 
3.000E-01 1.141E-01 
4.000E-01 9.539E-02 
5.000E-01 8.450E-02 
6.000E-01 7.695E-02 
8.000E-01 6.656E-02 
1.000E+00 5.941E-02 
1.022E+00 5.874E-02 
1.250E+00 5.295E-02 
1.500E+00 4.834E-02 
2.000E+00 4.235E-02 
2.044E+00 4.196E-02 
3.000E+00 3.634E-02 
4.000E+00 3.360E-02 
5.000E+00 3.225E-02 
6.000E+00 3.160E-02 
7.000E+00 3.138E-02 
8.000E+00 3.138E-02 
9.000E+00 3.152E-02 
1.000E+01 3.175E-02 
1.100E+01 3.202E-02 
1.200E+01 3.233E-02 
1.300E+01 3.266E-02 
1.400E+01 3.300E-02 
1.500E+01 3.335E-02 
1.600E+01 3.370E-02 
1.800E+01 3.441E-02 
2.000E+01 3.510E-02 
2.200E+01 3.576E-02 
2.400E+01 3.639E-02 
2.600E+01 3.700E-02 
2.800E+01 3.757E-02 
3.000E+01 3.812E-02 
4.000E+01 4.050E-02 
5.000E+01 4.242E-02 
6.000E+01 4.398E-02 
8.000E+01 4.641E-02 
1.000E+02 4.820E-02 
1.500E+02 5.115E-02 
2.000E+02 5.295E-02 
3.000E+02 5.511E-02 
4.000E+02 5.636E-02 
5.000E+02 5.719E-02 
6.000E+02 5.780E-02 
8.000E+02 5.860E-02 
1.000E+03 5.913E-02 
1.500E+03 5.989E-02 
2.000E+03 6.031E-02 
3.000E+03 6.076E-02 
4.000E+03 6.100E-02 
5.000E+03 6.116E-02 
6.000E+03 6.126E-02 
8.000E+03 6.141E-02 
1.000E+04 6.150E-02 
1.500E+04 6.162E-02 
2.000E+04 6.169E-02 
3.000E+04 6.176E-02 
4.000E+04 6.180E-02 
5.000E+04 6.182E-02 
6.000E+04 6.184E-02 
8.000E+04 6.186E-02 
1.000E+05 6.187E-02 
