Photon    Tot. w/  
Energy    Coherent 

1.000E-03 7.539E+03 
1.074E-03 6.657E+03 
1.154E-03 5.881E+03 
1.154E-03 6.242E+03 
1.289E-03 5.060E+03 
1.440E-03 4.104E+03 
1.440E-03 4.187E+03 
1.500E-03 3.831E+03 
1.643E-03 3.185E+03 
1.643E-03 3.243E+03 
2.000E-03 2.154E+03 
3.000E-03 8.890E+02 
3.971E-03 4.712E+02 
3.971E-03 1.048E+03 
4.000E-03 1.037E+03 
4.227E-03 9.321E+02 
4.227E-03 1.298E+03 
4.503E-03 1.119E+03 
4.797E-03 9.648E+02 
4.797E-03 1.122E+03 
5.000E-03 1.016E+03 
5.895E-03 6.691E+02 
5.895E-03 7.091E+02 
6.000E-03 6.790E+02 
6.288E-03 6.052E+02 
6.288E-03 6.300E+02 
8.000E-03 3.507E+02 
1.000E-02 2.026E+02 
1.500E-02 7.412E+01 
1.893E-02 4.162E+01 
1.893E-02 9.351E+01 
2.000E-02 8.145E+01 
2.380E-02 5.119E+01 
2.380E-02 7.225E+01 
2.413E-02 6.970E+01 
2.446E-02 6.727E+01 
2.446E-02 7.716E+01 
3.000E-02 4.650E+01 
4.000E-02 2.255E+01 
5.000E-02 1.282E+01 
6.000E-02 8.075E+00 
8.000E-02 3.909E+00 
1.000E-01 2.250E+00 
1.282E-01 1.240E+00 
1.282E-01 4.182E+00 
1.500E-01 2.871E+00 
2.000E-01 1.445E+00 
3.000E-01 5.789E-01 
4.000E-01 3.242E-01 
5.000E-01 2.177E-01 
6.000E-01 1.628E-01 
8.000E-01 1.094E-01 
1.000E+00 8.408E-02 
1.022E+00 8.210E-02 
1.250E+00 6.714E-02 
1.500E+00 5.852E-02 
2.000E+00 5.079E-02 
2.044E+00 5.039E-02 
3.000E+00 4.606E-02 
4.000E+00 4.534E-02 
5.000E+00 4.600E-02 
6.000E+00 4.713E-02 
7.000E+00 4.858E-02 
8.000E+00 5.015E-02 
9.000E+00 5.178E-02 
1.000E+01 5.339E-02 
1.100E+01 5.500E-02 
1.200E+01 5.657E-02 
1.300E+01 5.808E-02 
1.400E+01 5.956E-02 
1.500E+01 6.097E-02 
1.600E+01 6.229E-02 
1.800E+01 6.478E-02 
2.000E+01 6.705E-02 
2.200E+01 6.915E-02 
2.400E+01 7.113E-02 
2.600E+01 7.295E-02 
2.800E+01 7.463E-02 
3.000E+01 7.620E-02 
4.000E+01 8.273E-02 
5.000E+01 8.770E-02 
6.000E+01 9.163E-02 
8.000E+01 9.748E-02 
1.000E+02 1.017E-01 
1.500E+02 1.083E-01 
2.000E+02 1.123E-01 
3.000E+02 1.170E-01 
4.000E+02 1.197E-01 
5.000E+02 1.215E-01 
6.000E+02 1.227E-01 
8.000E+02 1.244E-01 
1.000E+03 1.255E-01 
1.500E+03 1.271E-01 
2.000E+03 1.280E-01 
3.000E+03 1.289E-01 
4.000E+03 1.295E-01 
5.000E+03 1.298E-01 
6.000E+03 1.300E-01 
8.000E+03 1.303E-01 
1.000E+04 1.305E-01 
1.500E+04 1.307E-01 
2.000E+04 1.309E-01 
3.000E+04 1.310E-01 
4.000E+04 1.311E-01 
5.000E+04 1.312E-01 
6.000E+04 1.312E-01 
8.000E+04 1.312E-01 
1.000E+05 1.312E-01 
