Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.616E+03 
1.162E-03 1.956E+03 
1.351E-03 1.463E+03 
1.351E-03 2.068E+03 
1.371E-03 3.047E+03 
1.391E-03 4.487E+03 
1.391E-03 5.191E+03 
1.500E-03 5.848E+03 
1.741E-03 4.037E+03 
1.741E-03 4.676E+03 
1.830E-03 4.161E+03 
1.923E-03 3.705E+03 
1.923E-03 3.935E+03 
2.000E-03 3.591E+03 
2.128E-03 3.128E+03 
2.128E-03 3.266E+03 
3.000E-03 1.465E+03 
4.000E-03 7.264E+02 
5.000E-03 4.170E+02 
6.000E-03 2.636E+02 
8.000E-03 1.270E+02 
8.071E-03 1.242E+02 
8.071E-03 3.283E+02 
8.484E-03 2.888E+02 
8.918E-03 2.540E+02 
8.918E-03 3.464E+02 
9.153E-03 3.251E+02 
9.394E-03 3.051E+02 
9.394E-03 3.520E+02 
1.000E-02 3.012E+02 
1.500E-02 1.060E+02 
2.000E-02 4.981E+01 
3.000E-02 1.701E+01 
4.000E-02 7.939E+00 
5.000E-02 4.426E+00 
5.562E-02 3.361E+00 
5.562E-02 1.592E+01 
6.000E-02 1.309E+01 
8.000E-02 6.242E+00 
1.000E-01 3.493E+00 
1.500E-01 1.236E+00 
2.000E-01 6.177E-01 
3.000E-01 2.639E-01 
4.000E-01 1.630E-01 
5.000E-01 1.205E-01 
6.000E-01 9.800E-02 
8.000E-01 7.477E-02 
1.000E+00 6.258E-02 
1.022E+00 6.155E-02 
1.250E+00 5.350E-02 
1.500E+00 4.829E-02 
2.000E+00 4.289E-02 
2.044E+00 4.260E-02 
3.000E+00 3.930E-02 
4.000E+00 3.877E-02 
5.000E+00 3.927E-02 
6.000E+00 4.020E-02 
7.000E+00 4.132E-02 
8.000E+00 4.253E-02 
9.000E+00 4.378E-02 
1.000E+01 4.504E-02 
1.100E+01 4.627E-02 
1.200E+01 4.749E-02 
1.300E+01 4.866E-02 
1.400E+01 4.980E-02 
1.500E+01 5.088E-02 
1.600E+01 5.191E-02 
1.800E+01 5.378E-02 
2.000E+01 5.552E-02 
2.200E+01 5.713E-02 
2.400E+01 5.864E-02 
2.600E+01 6.002E-02 
2.800E+01 6.131E-02 
3.000E+01 6.253E-02 
4.000E+01 6.758E-02 
5.000E+01 7.144E-02 
6.000E+01 7.451E-02 
8.000E+01 7.914E-02 
1.000E+02 8.242E-02 
1.500E+02 8.772E-02 
2.000E+02 9.092E-02 
3.000E+02 9.470E-02 
4.000E+02 9.685E-02 
5.000E+02 9.828E-02 
6.000E+02 9.929E-02 
8.000E+02 1.007E-01 
1.000E+03 1.016E-01 
1.500E+03 1.028E-01 
2.000E+03 1.035E-01 
3.000E+03 1.043E-01 
4.000E+03 1.047E-01 
5.000E+03 1.050E-01 
6.000E+03 1.051E-01 
8.000E+03 1.054E-01 
1.000E+04 1.055E-01 
1.500E+04 1.058E-01 
2.000E+04 1.059E-01 
3.000E+04 1.060E-01 
4.000E+04 1.060E-01 
5.000E+04 1.061E-01 
6.000E+04 1.061E-01 
8.000E+04 1.061E-01 
1.000E+05 1.061E-01 
