Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.899E+03 
1.211E-03 1.987E+03 
1.468E-03 1.362E+03 
1.468E-03 1.855E+03 
1.500E-03 3.935E+03 
1.515E-03 4.145E+03 
1.515E-03 4.830E+03 
1.689E-03 4.210E+03 
1.884E-03 3.667E+03 
1.884E-03 4.252E+03 
2.000E-03 3.685E+03 
2.090E-03 3.326E+03 
2.090E-03 3.534E+03 
2.196E-03 3.158E+03 
2.307E-03 2.822E+03 
2.307E-03 2.946E+03 
3.000E-03 1.594E+03 
4.000E-03 7.946E+02 
5.000E-03 4.569E+02 
6.000E-03 2.892E+02 
8.000E-03 1.397E+02 
8.648E-03 1.146E+02 
8.648E-03 2.991E+02 
9.120E-03 2.608E+02 
9.617E-03 2.274E+02 
9.617E-03 3.102E+02 
1.000E-02 2.831E+02 
1.012E-02 2.745E+02 
1.012E-02 3.167E+02 
1.500E-02 1.157E+02 
2.000E-02 5.451E+01 
3.000E-02 1.869E+01 
4.000E-02 8.735E+00 
5.000E-02 4.869E+00 
5.939E-02 3.122E+00 
5.939E-02 1.462E+01 
6.000E-02 1.409E+01 
8.000E-02 6.743E+00 
1.000E-01 3.780E+00 
1.500E-01 1.340E+00 
2.000E-01 6.682E-01 
3.000E-01 2.822E-01 
4.000E-01 1.722E-01 
5.000E-01 1.261E-01 
6.000E-01 1.018E-01 
8.000E-01 7.693E-02 
1.000E+00 6.404E-02 
1.022E+00 6.297E-02 
1.250E+00 5.455E-02 
1.500E+00 4.912E-02 
2.000E+00 4.362E-02 
2.044E+00 4.332E-02 
3.000E+00 4.002E-02 
4.000E+00 3.954E-02 
5.000E+00 4.010E-02 
6.000E+00 4.108E-02 
7.000E+00 4.226E-02 
8.000E+00 4.352E-02 
9.000E+00 4.482E-02 
1.000E+01 4.612E-02 
1.100E+01 4.741E-02 
1.200E+01 4.865E-02 
1.300E+01 4.988E-02 
1.400E+01 5.107E-02 
1.500E+01 5.216E-02 
1.600E+01 5.322E-02 
1.800E+01 5.520E-02 
2.000E+01 5.698E-02 
2.200E+01 5.865E-02 
2.400E+01 6.022E-02 
2.600E+01 6.163E-02 
2.800E+01 6.298E-02 
3.000E+01 6.423E-02 
4.000E+01 6.945E-02 
5.000E+01 7.345E-02 
6.000E+01 7.661E-02 
8.000E+01 8.137E-02 
1.000E+02 8.476E-02 
1.500E+02 9.022E-02 
2.000E+02 9.347E-02 
3.000E+02 9.733E-02 
4.000E+02 9.953E-02 
5.000E+02 1.010E-01 
6.000E+02 1.021E-01 
8.000E+02 1.035E-01 
1.000E+03 1.043E-01 
1.500E+03 1.057E-01 
2.000E+03 1.064E-01 
3.000E+03 1.071E-01 
4.000E+03 1.076E-01 
5.000E+03 1.078E-01 
6.000E+03 1.080E-01 
8.000E+03 1.083E-01 
1.000E+04 1.084E-01 
1.500E+04 1.086E-01 
2.000E+04 1.087E-01 
3.000E+04 1.088E-01 
4.000E+04 1.089E-01 
5.000E+04 1.090E-01 
6.000E+04 1.090E-01 
8.000E+04 1.090E-01 
1.000E+05 1.090E-01 
