Photon    Tot. w/  
Energy    Coherent 

1.000E-03 1.185E+03 
1.500E-03 4.023E+02 
1.560E-03 3.621E+02 
1.560E-03 3.957E+03 
2.000E-03 2.263E+03 
3.000E-03 7.881E+02 
4.000E-03 3.605E+02 
5.000E-03 1.934E+02 
6.000E-03 1.153E+02 
8.000E-03 5.032E+01 
1.000E-02 2.621E+01 
1.500E-02 7.955E+00 
2.000E-02 3.442E+00 
3.000E-02 1.128E+00 
4.000E-02 5.684E-01 
5.000E-02 3.681E-01 
6.000E-02 2.778E-01 
8.000E-02 2.018E-01 
1.000E-01 1.704E-01 
1.500E-01 1.378E-01 
2.000E-01 1.223E-01 
3.000E-01 1.042E-01 
4.000E-01 9.276E-02 
5.000E-01 8.445E-02 
6.000E-01 7.802E-02 
8.000E-01 6.841E-02 
1.000E+00 6.146E-02 
1.022E+00 6.080E-02 
1.250E+00 5.496E-02 
1.500E+00 5.006E-02 
2.000E+00 4.324E-02 
2.044E+00 4.277E-02 
3.000E+00 3.541E-02 
4.000E+00 3.106E-02 
5.000E+00 2.836E-02 
6.000E+00 2.655E-02 
7.000E+00 2.529E-02 
8.000E+00 2.437E-02 
9.000E+00 2.369E-02 
1.000E+01 2.318E-02 
1.100E+01 2.279E-02 
1.200E+01 2.249E-02 
1.300E+01 2.226E-02 
1.400E+01 2.208E-02 
1.500E+01 2.195E-02 
1.600E+01 2.185E-02 
1.800E+01 2.173E-02 
2.000E+01 2.168E-02 
2.200E+01 2.168E-02 
2.400E+01 2.172E-02 
2.600E+01 2.179E-02 
2.800E+01 2.187E-02 
3.000E+01 2.196E-02 
4.000E+01 2.251E-02 
5.000E+01 2.306E-02 
6.000E+01 2.358E-02 
8.000E+01 2.447E-02 
1.000E+02 2.517E-02 
1.500E+02 2.641E-02 
2.000E+02 2.724E-02 
3.000E+02 2.825E-02 
4.000E+02 2.888E-02 
5.000E+02 2.931E-02 
6.000E+02 2.961E-02 
8.000E+02 3.004E-02 
1.000E+03 3.032E-02 
1.500E+03 3.074E-02 
2.000E+03 3.098E-02 
3.000E+03 3.123E-02 
4.000E+03 3.139E-02 
5.000E+03 3.148E-02 
6.000E+03 3.154E-02 
8.000E+03 3.161E-02 
1.000E+04 3.168E-02 
1.500E+04 3.175E-02 
2.000E+04 3.179E-02 
3.000E+04 3.182E-02 
4.000E+04 3.184E-02 
5.000E+04 3.186E-02 
6.000E+04 3.186E-02 
8.000E+04 3.189E-02 
1.000E+05 3.189E-02 
